experiment,Line-Treatment,DT inflection,StDev_inf,DT interval,StDev_int,Lab strain,Strain,Treatment,Strain*Treatment,Time_0,Time_0.5,Time_1,Time_1.5,Time_2,Time_2.5,Time_3,Time_3.5,Time_4,Time_4.5,Time_5,Time_5.5,Time_6,Time_6.5,Time_7,Time_7.5,Time_8,Time_8.5,Time_9,Time_9.5,Time_10,Time_10.5,Time_11,Time_11.5,Time_12,Time_12.5,Time_13,Time_13.5,Time_14,Time_14.5,Time_15,Time_15.5,Time_16,Time_16.5,Time_17,Time_17.5,Time_18,Time_18.5,Time_19,Time_19.5,Time_20
SET2_caffeine_KGPU_080517.xls,NCYC 3468-1000 ug/ml Caffeine,42.90333679,11.52713952,62.00084861,13.71473818,NCYC 3468,UWOPS05-227.2 ,1 mg/mL Caffeine,UWOPS05-227.2 *1 mg/mL Caffeine,0,0.063,0.052666667,0.030666667,0.024333333,0.087333333,0.083333333,0.122666667,0.128666667,0.129,0.203,0.280333333,0.388,0.507,0.704,0.870666667,1.041,1.156333333,1.256,1.286,1.282666667,1.317333333,1.362666667,1.385333333,1.412666667,1.444666667,1.484,1.501333333,1.530666667,1.554333333,1.587666667,1.601666667,1.629666667,1.641333333,1.664666667,1.68,1.691,1.712333333,1.728666667,1.742,1.747
SGRP_mTORinhibits_SET2_Caffeine_JE_092817.xls,NCYC 3468-1000 ug/ml Caffeine,46.95398544,2.187910824,207.4899204,276.7752752,NCYC 3468,UWOPS05-227.2 ,1 mg/mL Caffeine,UWOPS05-227.2 *1 mg/mL Caffeine,0,0.064333333,0.058,0.047333333,0.023666667,0.014333333,0.008333333,0.071,0.081666667,0.083,0.115,0.220333333,0.266333333,0.359333333,0.497,0.689333333,0.857333333,1.039666667,1.169,1.247,1.297,1.313333333,1.337666667,1.375666667,1.398333333,1.423,1.459333333,1.489,1.514333333,1.538,1.569333333,1.594,1.614666667,1.633,1.648333333,1.674,1.688,1.705,1.713,1.728,1.737666667
SGRP_mTORinhibitsSCREEN_SET2_Caffeine_JE_092717.xls,NCYC 3468-1000 ug/ml Caffeine,55.57922235,2.246762436,68.79582676,13.06248727,NCYC 3468,UWOPS05-227.2 ,1 mg/mL Caffeine,UWOPS05-227.2 *1 mg/mL Caffeine,0,0.047666667,0.046,0.034666667,0.045333333,0.068333333,0.072666667,0.083666667,0.087,0.107333333,0.130333333,0.162333333,0.223,0.306333333,0.425666667,0.559666667,0.703666667,0.868333333,1.017333333,1.149,1.221666667,1.257,1.272333333,1.298666667,1.342333333,1.367,1.392666667,1.43,1.464666667,1.505,1.522333333,1.553666667,1.573,1.602666667,1.618666667,1.644,1.66,1.679,1.690666667,1.706666667,1.712666667
