experiment,Line-Treatment,DT inflection,StDev_inf,DT interval,StDev_int,Lab strain,Strain,Treatment,Strain*Treatment,Time_0,Time_0.5,Time_1,Time_1.5,Time_2,Time_2.5,Time_3,Time_3.5,Time_4,Time_4.5,Time_5,Time_5.5,Time_6,Time_6.5,Time_7,Time_7.5,Time_8,Time_8.5,Time_9,Time_9.5,Time_10,Time_10.5,Time_11,Time_11.5,Time_12,Time_12.5,Time_13,Time_13.5,Time_14,Time_14.5,Time_15,Time_15.5,Time_16,Time_16.5,Time_17,Time_17.5,Time_18,Time_18.5,Time_19,Time_19.5,Time_20
SGRP_mTOR_inhibitsSCREEN_SET1_lowRAPA_redo2_KG_092317.xls,NCYC 3311-2.5 ng/ml RAPA,83.67288784,8.478981305,102.0455663,3.535968796,NCYC 3311,DBVPG 1788,2.5 ng/mL RAPA,DBVPG 1788*2.5 ng/mL RAPA,0,0.047333333,0.05,0.058666667,0.075,0.096,0.127666667,0.163333333,0.202,0.244,0.304333333,0.365666667,0.437333333,0.520666667,0.611333333,0.718666667,0.820666667,0.914,1.001666667,1.077666667,1.144,1.204,1.253333333,1.29,1.321666667,1.335333333,1.350666667,1.363,1.378,1.392333333,1.407666667,1.425,1.438,1.454333333,1.47,1.487,1.502,1.518666667,1.535,1.549,1.567666667
SGRP_mTORinhibitsSCREEN_SET1_lowRAPA_round4_KG_092417.xls,NCYC 3311-2.5 ng/ml RAPA,64.83209762,2.829540097,69.10393576,0.320270274,NCYC 3311,DBVPG 1788,2.5 ng/mL RAPA,DBVPG 1788*2.5 ng/mL RAPA,0,0.063,0.083666667,0.11,0.155666667,0.209,0.288,0.381,0.496,0.619,0.746333333,0.881,1.003,1.104,1.19,1.244,1.263333333,1.277666667,1.294333333,1.315333333,1.336666667,1.363,1.389666667,1.413666667,1.437666667,1.459,1.478666667,1.498333333,1.523,1.542333333,1.563333333,1.581666667,1.599666667,1.621,1.634333333,1.647666667,1.661,1.669,1.687666667,1.7,1.713
SGRP_mTORinhibsSCREEN_SET1_lowRAPA_JEMBL_08152017.xls,NCYC 3311-2.5 ng/ml RAPA,68.02297216,2.450139775,69.24730456,2.122023827,NCYC 3311,DBVPG 1788,2.5 ng/mL RAPA,DBVPG 1788*2.5 ng/mL RAPA,0,0.048333333,0.056666667,0.072333333,0.094333333,0.124,0.165666667,0.222,0.300666667,0.403,0.513,0.657333333,0.808333333,0.956666667,1.091333333,1.183666667,1.232333333,1.249333333,1.272,1.296,1.32,1.351,1.380666667,1.408,1.435333333,1.460333333,1.482333333,1.505333333,1.529666667,1.551333333,1.572,1.589333333,1.608333333,1.625333333,1.638666667,1.656333333,1.67,1.683666667,1.694333333,1.705666667,1.716333333
