experiment,Line-Treatment,DT inflection,StDev_inf,DT interval,StDev_int,Lab strain,Strain,Treatment,Strain*Treatment,Time_0,Time_0.5,Time_1,Time_1.5,Time_2,Time_2.5,Time_3,Time_3.5,Time_4,Time_4.5,Time_5,Time_5.5,Time_6,Time_6.5,Time_7,Time_7.5,Time_8,Time_8.5,Time_9,Time_9.5,Time_10,Time_10.5,Time_11,Time_11.5,Time_12,Time_12.5,Time_13,Time_13.5,Time_14,Time_14.5,Time_15,Time_15.5,Time_16,Time_16.5,Time_17,Time_17.5,Time_18,Time_18.5,Time_19,Time_19.5,Time_20
SET2_caffeine_KGPU_080517.xls,NCYC 3469-1000 ug/ml Caffeine,93.17166176,5.39983969,99.77885753,1.467256044,NCYC 3469,DBVPG 6040 ,1 mg/mL Caffeine,DBVPG 6040 *1 mg/mL Caffeine,0,0.056333333,0.051,0.055,0.063,0.071333333,0.083,0.100666667,0.121333333,0.147666667,0.183333333,0.226,0.281333333,0.346,0.419666667,0.51,0.607,0.716333333,0.829,0.943333333,1.041666667,1.125333333,1.184,1.204666667,1.224666667,1.249666667,1.276,1.305,1.337666667,1.368,1.399,1.429333333,1.454333333,1.483666667,1.505333333,1.524666667,1.549333333,1.567,1.586,1.603333333,1.621333333
SGRP_mTORinhibits_SET2_Caffeine_JE_092817.xls,NCYC 3469-1000 ug/ml Caffeine,91.47315929,0.465785988,94.71335337,0.897662706,NCYC 3469,DBVPG 6040 ,1 mg/mL Caffeine,DBVPG 6040 *1 mg/mL Caffeine,0,0.056333333,0.054333333,0.054,0.056333333,0.062333333,0.069,0.086666667,0.103333333,0.127333333,0.157666667,0.194666667,0.243666667,0.303333333,0.374666667,0.458,0.554,0.657333333,0.77,0.888,1.005666667,1.105666667,1.189666667,1.247,1.270666667,1.288333333,1.312666667,1.337333333,1.360333333,1.390333333,1.418,1.444666667,1.471,1.494666667,1.520333333,1.541333333,1.561333333,1.580333333,1.600333333,1.614333333,1.633
SGRP_mTORinhibitsSCREEN_SET2_Caffeine_JE_092717.xls,NCYC 3469-1000 ug/ml Caffeine,98.85377959,5.303988405,105.086559,3.706057313,NCYC 3469,DBVPG 6040 ,1 mg/mL Caffeine,DBVPG 6040 *1 mg/mL Caffeine,0,0.056333333,0.059,0.062333333,0.068,0.076,0.085333333,0.098333333,0.118666667,0.144666667,0.175,0.210666667,0.259,0.317333333,0.383666667,0.466666667,0.557,0.659666667,0.767333333,0.882333333,0.995,1.095333333,1.174333333,1.237,1.266,1.285333333,1.311333333,1.338333333,1.36,1.389333333,1.422,1.45,1.475666667,1.500666667,1.523333333,1.547333333,1.57,1.588333333,1.609,1.624333333,1.645666667
