experiment,Line-Treatment,DT inflection,StDev_inf,DT interval,StDev_int,Lab strain,Strain,Treatment,Strain*Treatment,Time_0,Time_0.5,Time_1,Time_1.5,Time_2,Time_2.5,Time_3,Time_3.5,Time_4,Time_4.5,Time_5,Time_5.5,Time_6,Time_6.5,Time_7,Time_7.5,Time_8,Time_8.5,Time_9,Time_9.5,Time_10,Time_10.5,Time_11,Time_11.5,Time_12,Time_12.5,Time_13,Time_13.5,Time_14,Time_14.5,Time_15,Time_15.5,Time_16,Time_16.5,Time_17,Time_17.5,Time_18,Time_18.5,Time_19,Time_19.5,Time_20
SGRP_mTOR_inhibitsSCREEN_SET3_round3_lowTORIN_KG_091517_F.xls,YML669-1 uM Torin 1,78.73448498,9.93223978,108.1648374,2.194131273,yML 669,T21.4,1 uM Torin 1,T21.4*1 uM Torin 1,0,0.059333333,0.061,0.061333333,0.065666667,0.074666667,0.121666667,0.148666667,0.181333333,0.218,0.285,0.335666667,0.401666667,0.490666667,0.592666667,0.701333333,0.819,0.922666667,1.035,1.133666667,1.222,1.290666667,1.324,1.335333333,1.352,1.373333333,1.391666667,1.417,1.440333333,1.465,1.489333333,1.512666667,1.533333333,1.55,1.566,1.582,1.597333333,1.610333333,1.623,1.635666667,1.647
SGRP_mTORinhibitsSCREEN_SET3_LOWTORIN_MGK_09112017F.xls,YML669-1 uM Torin 1,30.2994289,2.944403741,30.2994289,2.944403741,yML 669,T21.4,1 uM Torin 1,T21.4*1 uM Torin 1,0,0.046,0.049,0.050666667,0.047333333,0.049666667,0.054333333,0.053666667,0.104,0.138,0.159,0.316666667,0.388666667,0.536333333,0.669333333,0.784666667,0.9,1.013333333,1.120666667,1.222,1.249666667,1.269666667,1.295333333,1.326,1.360666667,1.395,1.424666667,1.453666667,1.476333333,1.498333333,1.518333333,1.537,1.557333333,1.573333333,1.589,1.603333333,1.62,1.633666667,1.647,1.660666667,1.67
SGRP_mTORinhibitsSCREEN_SET3_LOWTORIN_PUMT_062817.xls,YML669-1 uM Torin 1,70.7324068,7.261081885,82.98665149,8.553140902,yML 669,T21.4,1 uM Torin 1,T21.4*1 uM Torin 1,0,0.03,0.034,0.038,0.044,0.052,0.060666667,0.071333333,0.090333333,0.121,0.154333333,0.207666667,0.263333333,0.338666667,0.419666667,0.5,0.593333333,0.681333333,0.777666667,0.871333333,0.966,1.056333333,1.135666667,1.194666667,1.219666667,1.247666667,1.272666667,1.307,1.336666667,1.366666667,1.393666667,1.416666667,1.438333333,1.458,1.477666667,1.494666667,1.51,1.526333333,1.538666667,1.552333333,1.566666667
