experiment,Line-Treatment,DT inflection,StDev_inf,DT interval,StDev_int,Lab strain,Strain,Treatment,Strain*Treatment,Time_0,Time_0.5,Time_1,Time_1.5,Time_2,Time_2.5,Time_3,Time_3.5,Time_4,Time_4.5,Time_5,Time_5.5,Time_6,Time_6.5,Time_7,Time_7.5,Time_8,Time_8.5,Time_9,Time_9.5,Time_10,Time_10.5,Time_11,Time_11.5,Time_12,Time_12.5,Time_13,Time_13.5,Time_14,Time_14.5,Time_15,Time_15.5,Time_16,Time_16.5,Time_17,Time_17.5,Time_18,Time_18.5,Time_19,Time_19.5,Time_20
_lowTORIN_KGPUMBL_052817.xls,NCYC 3311-2.5% DMSO,76.46022993,5.026645363,84.30610307,2.25189223,NCYC 3311,DBVPG 1788,2.5% DMSO,DBVPG 1788*2.5% DMSO,0,0.077,0.092,0.107666667,0.136333333,0.170666667,0.216666667,0.285,0.357666667,0.452,0.572666667,0.695,0.836,0.974666667,1.1,1.176,1.196,1.21,1.238666667,1.262666667,1.293333333,1.323666667,1.354666667,1.381333333,1.406,1.424333333,1.447,1.467,1.478666667,1.519333333,1.544333333,1.564,1.581666667,1.6,1.619333333,1.631666667,1.650333333,1.653666667,1.671,1.684,1.693666667
SGRP_mTORinhibits_SET1_lowTORINredo_JEMBL_08032017.xls,NCYC 3311-2.5% DMSO,70.54023987,2.005945044,74.39584827,1.880443665,NCYC 3311,DBVPG 1788,2.5% DMSO,DBVPG 1788*2.5% DMSO,0,0.028666667,0.044,0.05,0.061333333,0.078333333,0.101,0.132333333,0.172333333,0.231,0.302,0.401333333,0.509,0.634,0.773,0.912,1.046333333,1.137,1.163,1.184333333,1.207333333,1.236333333,1.267333333,1.290666667,1.328,1.359,1.381666667,1.404666667,1.432333333,1.459333333,1.482333333,1.506,1.528333333,1.545666667,1.566,1.585,1.602666667,1.616666667,1.631,1.646666667,1.655666667
SGRP_mTORinhibitsSCREEN_SET1_LOW_TORIN_MGK_081617.xls,NCYC 3311-2.5% DMSO,82.63824855,2.410457706,86.99133709,4.14964726,NCYC 3311,DBVPG 1788,2.5% DMSO,DBVPG 1788*2.5% DMSO,0,0.057666667,0.066333333,0.08,0.101666667,0.125,0.158666667,0.196,0.246,0.309666667,0.394666667,0.491666667,0.610666667,0.737666667,0.869666667,0.989666667,1.084333333,1.147333333,1.171333333,1.192666667,1.216,1.248666667,1.275,1.306,1.332333333,1.362,1.389,1.412666667,1.442666667,1.467666667,1.49,1.512333333,1.533333333,1.558666667,1.577,1.596333333,1.614666667,1.629333333,1.641333333,1.655666667,1.667
