experiment,Line-Treatment,DT inflection,StDev_inf,DT interval,StDev_int,Lab strain,Strain,Treatment,Strain*Treatment,Time_0,Time_0.5,Time_1,Time_1.5,Time_2,Time_2.5,Time_3,Time_3.5,Time_4,Time_4.5,Time_5,Time_5.5,Time_6,Time_6.5,Time_7,Time_7.5,Time_8,Time_8.5,Time_9,Time_9.5,Time_10,Time_10.5,Time_11,Time_11.5,Time_12,Time_12.5,Time_13,Time_13.5,Time_14,Time_14.5,Time_15,Time_15.5,Time_16,Time_16.5,Time_17,Time_17.5,Time_18,Time_18.5,Time_19,Time_19.5,Time_20
SGRP_mTORinhibits_SET3_CAFFEINE_MGK_100817_F.xls,YML669-1000 ug/ml Caffeine,57.67356708,37.44757001,114.1012362,16.3299199,yML 669,T21.4,1 mg/mL Caffeine,T21.4*1 mg/mL Caffeine,0,0.061666667,0.054666667,0.048333333,0.056333333,0.054,0.063333333,0.052,0.067666667,0.278,0.329333333,0.317666667,0.485666667,0.562,0.685666667,0.795,0.902666667,1.022666667,1.133,1.197666667,1.226666667,1.246,1.260333333,1.281,1.306,1.332,1.359,1.396,1.414666667,1.439333333,1.463666667,1.486333333,1.507666667,1.530333333,1.547666667,1.567666667,1.583,1.598,1.610333333,1.631333333,1.636
SGRP_mTORinhibitsSCREEN_SET3_CAFFEINE_MGK_10082017_D.xls,YML669-1000 ug/ml Caffeine,77.47052255,7.417431022,118.4044869,10.19106745,yML 669,T21.4,1 mg/mL Caffeine,T21.4*1 mg/mL Caffeine,0,0.069,0.072,0.074333333,0.078333333,0.120333333,0.156,0.195333333,0.231,0.265333333,0.345666667,0.406666667,0.490333333,0.584,0.697,0.813666667,0.932,1.06,1.175333333,1.209333333,1.214333333,1.229333333,1.246333333,1.280333333,1.306,1.333,1.361666667,1.395333333,1.421666667,1.447666667,1.472666667,1.493,1.517333333,1.543,1.551666667,1.573666667,1.595,1.613333333,1.623333333,1.639333333,1.653666667
SGRP_mTORinhibitsSCREEN_SET3_Caffeine_NBMBL_07112017.xls,YML669-1000 ug/ml Caffeine,27.39703133,1.881336332,26.10758156,,yML 669,T21.4,1 mg/mL Caffeine,T21.4*1 mg/mL Caffeine,0,0.047666667,0.050333333,0.049666667,0.041,0.032666667,0.036,0.039,0.048,0.129666667,0.135666667,0.164666667,0.351,0.549666667,0.655666667,0.766333333,0.891666667,1.004333333,1.112666667,1.189333333,1.217333333,1.239333333,1.265333333,1.298,1.335,1.367666667,1.398666667,1.429,1.454333333,1.48,1.501666667,1.523666667,1.541666667,1.563,1.575,1.591333333,1.608333333,1.620666667,1.633333333,1.648,1.66
