experiment,Line-Treatment,DT inflection,StDev_inf,DT interval,StDev_int,Lab strain,Strain,Treatment,Strain*Treatment,Time_0,Time_0.5,Time_1,Time_1.5,Time_2,Time_2.5,Time_3,Time_3.5,Time_4,Time_4.5,Time_5,Time_5.5,Time_6,Time_6.5,Time_7,Time_7.5,Time_8,Time_8.5,Time_9,Time_9.5,Time_10,Time_10.5,Time_11,Time_11.5,Time_12,Time_12.5,Time_13,Time_13.5,Time_14,Time_14.5,Time_15,Time_15.5,Time_16,Time_16.5,Time_17,Time_17.5,Time_18,Time_18.5,Time_19,Time_19.5,Time_20
_lowTORIN_KGPUMBL_052817.xls,NCYC 3454-2.5% DMSO,60.93009391,16.67805593,111.2750764,25.15926601,NCYC 3454,YS9,2.5% DMSO,YS9*2.5% DMSO,0,0.112,0.148,0.170333333,0.212666667,0.272333333,0.340333333,0.396333333,0.562666667,0.699,0.851666667,0.996333333,1.121333333,1.188333333,1.218,1.248666667,1.276666667,1.303333333,1.336,1.363666667,1.403,1.434333333,1.461333333,1.480333333,1.515333333,1.531,1.550333333,1.574,1.577333333,1.604666667,1.627333333,1.642,1.659333333,1.675,1.688666667,1.706,1.718,1.721,1.730666667,1.748333333,1.755
SGRP_mTORinhibits_SET1_lowTORINredo_JEMBL_08032017.xls,NCYC 3454-2.5% DMSO,43.96743281,2.566612517,65.43449921,2.539579476,NCYC 3454,YS9,2.5% DMSO,YS9*2.5% DMSO,0,0.033,0.05,0.06,0.073333333,0.094333333,0.116666667,0.125,0.175,0.234,0.344666667,0.511333333,0.645333333,0.796666667,0.946,1.073333333,1.134,1.162666667,1.188666667,1.216666667,1.248666667,1.283666667,1.32,1.351666667,1.389,1.421333333,1.448333333,1.475333333,1.5,1.523333333,1.544333333,1.567,1.583333333,1.600333333,1.617666667,1.636,1.648333333,1.662333333,1.678,1.689666667,1.698333333
SGRP_mTORinhibitsSCREEN_SET1_LOW_TORIN_MGK_081617.xls,NCYC 3454-2.5% DMSO,63.58701109,11.90198411,68.15393638,4.892014242,NCYC 3454,YS9,2.5% DMSO,YS9*2.5% DMSO,0,0.057,0.064333333,0.08,0.099,0.12,0.153,0.211,0.281,0.374,0.492,0.624,0.772666667,0.921666667,1.053666667,1.135,1.16,1.188333333,1.213,1.243333333,1.276666667,1.312666667,1.345666667,1.379333333,1.412666667,1.441666667,1.471333333,1.494333333,1.522666667,1.541666667,1.560333333,1.582,1.598666667,1.618666667,1.632333333,1.653,1.667333333,1.676,1.687666667,1.701,1.712666667
