experiment,Line-Treatment,DT inflection,StDev_inf,DT interval,StDev_int,Lab strain,Strain,Treatment,Strain*Treatment,Time_0,Time_0.5,Time_1,Time_1.5,Time_2,Time_2.5,Time_3,Time_3.5,Time_4,Time_4.5,Time_5,Time_5.5,Time_6,Time_6.5,Time_7,Time_7.5,Time_8,Time_8.5,Time_9,Time_9.5,Time_10,Time_10.5,Time_11,Time_11.5,Time_12,Time_12.5,Time_13,Time_13.5,Time_14,Time_14.5,Time_15,Time_15.5,Time_16,Time_16.5,Time_17,Time_17.5,Time_18,Time_18.5,Time_19,Time_19.5,Time_20
SET2AZDredo+highTORINMBL_07302017.xls,WT-100 uM AZD8055,80.65308566,1.359997347,86.00866076,1.530364992,BY4743,BY4743,100 uM AZD8055,BY4743*100 uM AZD8055,0,0.044666667,0.048333333,0.054,0.060333333,0.074666667,0.095333333,0.116666667,0.151333333,0.194,0.246333333,0.316,0.397,0.495333333,0.603333333,0.72,0.831333333,0.937333333,1.022666667,1.072333333,1.086,1.087333333,1.096333333,1.104,1.113666667,1.122333333,1.136,1.142666667,1.154,1.163666667,1.179333333,1.186666667,1.194666667,1.21,1.217666667,1.228333333,1.240666667,1.254,1.259666667,1.270666667,1.281333333
SET2AZDredo+highTORINMBL_07302017.xls,NCYC 3458-100 uM AZD8055,68.09869664,1.970434922,70.25761373,1.005012507,NCYC 3458,YJM978,100 uM AZD8055,YJM978*100 uM AZD8055,0,0.038666667,0.045333333,0.057666667,0.074,0.097333333,0.132666667,0.176,0.238,0.319,0.418,0.527666667,0.67,0.824333333,0.978333333,1.096,1.138666667,1.161,1.182,1.213,1.245,1.274666667,1.309,1.344666667,1.38,1.409333333,1.438333333,1.46,1.485666667,1.506333333,1.533,1.551333333,1.57,1.590333333,1.606333333,1.619333333,1.635666667,1.649333333,1.661333333,1.673333333,1.68
SET2AZDredo+highTORINMBL_07302017.xls,NCYC 3460-100 uM AZD8055,77.97407324,4.9143595,59.33672937,6.306289141,NCYC 3460,Y9,100 uM AZD8055,Y9*100 uM AZD8055,0,0.017333333,0.016,0.015333333,0.014333333,0.019,0.03,0.056666667,0.142333333,0.257666667,0.338333333,0.441,0.560333333,0.698666667,0.820666667,0.947,1.060666667,1.161,1.230666667,1.254333333,1.239666667,1.178333333,1.122,0.997666667,0.825666667,0.663333333,0.592666667,0.584,0.611333333,0.626,0.692333333,0.734,0.783666667,0.835,0.885666667,0.932666667,0.988,1.042333333,1.085,1.119,1.149
SET2AZDredo+highTORINMBL_07302017.xls,NCYC 3461-100 uM AZD8055,54.43960731,9.794017705,50.01209202,9.243418286,NCYC 3461,UWOPS03-461.4 ,100 uM AZD8055,UWOPS03-461.4 *100 uM AZD8055,0,0.06,0.06,0.069,0.059,0.077,0.105333333,0.127333333,0.199666667,0.294333333,0.397333333,0.52,0.664666667,0.824,0.977333333,1.111666667,1.208333333,1.217,1.257333333,1.280666667,1.308666667,1.35,1.384333333,1.430333333,1.461,1.493,1.530333333,1.552666667,1.574666667,1.602666667,1.620666667,1.647,1.663333333,1.677,1.700333333,1.714666667,1.727666667,1.739333333,1.756666667,1.773333333,1.782666667
SET2AZDredo+highTORINMBL_07302017.xls,NCYC 3462-100 uM AZD8055,36.4444954,18.62571897,36.84004993,7.271514366,NCYC 3462,UWOPS05-217.3 ,100 uM AZD8055,UWOPS05-217.3 *100 uM AZD8055,0,0.06,0.058666667,0.047333333,0.051666667,0.092,0.099666667,0.093666667,0.174666667,0.311333333,0.408,0.535333333,0.674666667,0.828,0.978333333,1.107333333,1.194333333,1.209333333,1.243333333,1.265,1.289666667,1.331333333,1.363333333,1.409333333,1.436666667,1.467333333,1.507333333,1.528333333,1.547666667,1.580666667,1.599333333,1.625,1.642,1.651666667,1.675666667,1.690666667,1.699666667,1.715666667,1.731666667,1.743666667,1.761666667
SET2AZDredo+highTORINMBL_07302017.xls,NCYC 3466-100 uM AZD8055,81.52083762,2.134711096,91.09090297,1.859138954,NCYC 3466,S288c ,100 uM AZD8055,S288c *100 uM AZD8055,0,0.058666667,0.066666667,0.074,0.084333333,0.103333333,0.131,0.16,0.206666667,0.260666667,0.323666667,0.406,0.495,0.599666667,0.71,0.826333333,0.941,1.056,1.138,1.176,1.189666667,1.200666667,1.216333333,1.235,1.255333333,1.275666667,1.303666667,1.324333333,1.349,1.374333333,1.401666667,1.426,1.447666667,1.475,1.497,1.520333333,1.544,1.565,1.582333333,1.602666667,1.620666667
SET2AZDredo+highTORINMBL_07302017.xls,NCYC 3467-100 uM AZD8055,108.9031478,7.199839288,125.8943701,3.136201193,NCYC 3467,W303,100 uM AZD8055,W303*100 uM AZD8055,0,0.025333333,0.025666667,0.027,0.028333333,0.030333333,0.034666667,0.036,0.042,0.048333333,0.055666667,0.066,0.078333333,0.093,0.110666667,0.131666667,0.154666667,0.187333333,0.221,0.262333333,0.310666667,0.360333333,0.424333333,0.494333333,0.565666667,0.635,0.696,0.732666667,0.777,0.816666667,0.864,0.897666667,0.934333333,0.975333333,1.005,1.035,1.066,1.081,1.078666667,1.084666667,1.089333333
SET2AZDredo+highTORINMBL_07302017.xls,NCYC 3468-100 uM AZD8055,18.55285361,11.2252072,37.1231716,3.700852658,NCYC 3468,UWOPS05-227.2 ,100 uM AZD8055,UWOPS05-227.2 *100 uM AZD8055,0,0.066333333,0.060666667,0.036,0.074,0.1,0.092333333,0.060666667,0.196666667,0.332666667,0.445333333,0.590333333,0.738333333,0.876333333,1.04,1.162666667,1.236666667,1.244,1.278,1.298,1.324,1.367,1.398333333,1.440666667,1.469,1.499666667,1.535333333,1.555333333,1.574666667,1.606,1.620666667,1.645,1.662666667,1.673666667,1.695666667,1.71,1.720666667,1.733333333,1.752666667,1.763666667,1.772333333
SET2AZDredo+highTORINMBL_07302017.xls,NCYC 3469-100 uM AZD8055,70.42624754,0.717574545,75.96919301,1.475292769,NCYC 3469,DBVPG 6040 ,100 uM AZD8055,DBVPG 6040 *100 uM AZD8055,0,0.056,0.062333333,0.074666667,0.094,0.111,0.143333333,0.181,0.243,0.318,0.408,0.516333333,0.636666667,0.771333333,0.913666667,1.046333333,1.150666667,1.210666667,1.235333333,1.262666667,1.293,1.323,1.355,1.385333333,1.416333333,1.445333333,1.474,1.496666667,1.521666667,1.541666667,1.567333333,1.583666667,1.600666667,1.62,1.634,1.648333333,1.663333333,1.676333333,1.688333333,1.699666667,1.709666667
SET2AZDredo+highTORINMBL_07302017.xls,NCYC 3470-100 uM AZD8055,70.11983811,0.935833634,73.07606274,0.563990495,NCYC 3470,YIIc17_E5 ,100 uM AZD8055,YIIc17_E5 *100 uM AZD8055,0,0.048,0.056333333,0.068666667,0.081666667,0.105666667,0.141333333,0.179666667,0.241666667,0.317666667,0.406666667,0.520333333,0.642666667,0.776666667,0.912666667,1.051333333,1.168666667,1.176666667,1.175666667,1.180666667,1.185333333,1.188,1.193333333,1.199333333,1.205333333,1.208666667,1.217666667,1.219333333,1.224,1.228666667,1.238666667,1.241333333,1.244666667,1.254666667,1.258,1.263666667,1.271666667,1.278666667,1.279333333,1.285333333,1.29
