experiment,Line-Treatment,DT inflection,StDev_inf,DT interval,StDev_int,Lab strain,Strain,Treatment,Strain*Treatment,Time_0,Time_0.5,Time_1,Time_1.5,Time_2,Time_2.5,Time_3,Time_3.5,Time_4,Time_4.5,Time_5,Time_5.5,Time_6,Time_6.5,Time_7,Time_7.5,Time_8,Time_8.5,Time_9,Time_9.5,Time_10,Time_10.5,Time_11,Time_11.5,Time_12,Time_12.5,Time_13,Time_13.5,Time_14,Time_14.5,Time_15,Time_15.5,Time_16,Time_16.5,Time_17,Time_17.5,Time_18,Time_18.5,Time_19,Time_19.5,Time_20
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3471-100 uM GDC0941,80.13101849,4.231939553,89.45831201,6.952044056,NCYC 3471,YJM981 ,100 uM GDC0941,YJM981 *100 uM GDC0941,0,0.053,0.062666667,0.086333333,0.096666667,0.117666667,0.147333333,0.178666667,0.231333333,0.294,0.373666667,0.470666667,0.573666667,0.707333333,0.852,0.985333333,1.084,1.146666667,1.165666667,1.188,1.211,1.232333333,1.259666667,1.289333333,1.316666667,1.347,1.378333333,1.406666667,1.429,1.444666667,1.465,1.483333333,1.503,1.523,1.541,1.559333333,1.573,1.594,1.606333333,1.618666667,1.632666667
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3471-vehicle,45.01399853,10.71414306,53.76332171,15.49086383,NCYC 3471,YJM981 ,2.5% DMSO,YJM981 *2.5% DMSO,0,0.034333333,0.044,0.052,0.055333333,0.057,0.073,0.118,0.156666667,0.270666667,0.341333333,0.455666667,0.564,0.701,0.847333333,0.985666667,1.073666667,1.127333333,1.145333333,1.166,1.193333333,1.215333333,1.246666667,1.276333333,1.311333333,1.342666667,1.377666667,1.402666667,1.422666667,1.443333333,1.465,1.484333333,1.506666667,1.526333333,1.543333333,1.561333333,1.579,1.598666667,1.608666667,1.619666667,1.635666667
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3472-100 uM GDC0941,67.76446239,2.123290502,75.98702562,5.233505741,NCYC 3472,YJM975 ,100 uM GDC0941,YJM975 *100 uM GDC0941,0,0.043333333,0.064666667,0.098,0.099666667,0.123,0.162666667,0.210666667,0.282666667,0.364666667,0.472333333,0.586333333,0.720333333,0.848333333,0.978666667,1.076,1.147333333,1.199666667,1.224333333,1.249666667,1.275,1.299333333,1.328,1.359333333,1.387666667,1.417666667,1.447333333,1.470333333,1.492333333,1.510666667,1.534666667,1.552333333,1.573333333,1.591,1.61,1.626,1.64,1.658666667,1.669333333,1.682,1.693
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3472-vehicle,60.05275137,7.102441777,72.37009997,13.24095951,NCYC 3472,YJM975 ,2.5% DMSO,YJM975 *2.5% DMSO,0,0.039333333,0.048666667,0.064333333,0.081666667,0.11,0.15,0.196,0.263333333,0.375333333,0.488,0.633,0.783666667,0.927,1.056,1.146333333,1.182666667,1.208,1.225333333,1.253,1.283666667,1.309333333,1.338666667,1.369666667,1.402666667,1.431666667,1.459333333,1.483333333,1.505666667,1.524333333,1.547333333,1.569,1.587333333,1.607,1.623,1.635333333,1.65,1.667666667,1.681,1.689333333,1.703333333
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3486-100 uM GDC0941,75.32867055,3.501304514,82.17883508,2.562843295,NCYC 3486,NCYC110 ,100 uM GDC0941,NCYC110 *100 uM GDC0941,0,0.045,0.06,0.075333333,0.080333333,0.091666667,0.118666667,0.143,0.182333333,0.237666667,0.298666667,0.382666667,0.481,0.592333333,0.726,0.871666667,1.004333333,1.086,1.101333333,1.116,1.133333333,1.149666667,1.173,1.199,1.224,1.251,1.277333333,1.300666667,1.326333333,1.350333333,1.375,1.398666667,1.417666667,1.438666667,1.457666667,1.472,1.486,1.502,1.514333333,1.528333333,1.540666667
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3486-vehicle,73.9898348,3.310322237,76.24114036,2.640584176,NCYC 3486,NCYC110 ,2.5% DMSO,NCYC110 *2.5% DMSO,0,0.015333333,0.017333333,0.029,0.041666667,0.066,0.094333333,0.124,0.161666667,0.214,0.281666667,0.366,0.466666667,0.578,0.707666667,0.849666667,0.963666667,1.055,1.082,1.095333333,1.115333333,1.131666667,1.153333333,1.178333333,1.204333333,1.228,1.260666667,1.284666667,1.309666667,1.334666667,1.361333333,1.383333333,1.407,1.427666667,1.444666667,1.460666667,1.477,1.492666667,1.507333333,1.521333333,1.533333333
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3487-100 uM GDC0941,83.55154475,5.565960784,94.76042553,0.920944421,NCYC 3487,YS2 ,100 uM GDC0941,YS2 *100 uM GDC0941,0,0.037333333,0.056,0.065666667,0.067666667,0.075333333,0.091666667,0.116666667,0.139,0.153,0.194333333,0.24,0.302333333,0.378666667,0.467666667,0.566666667,0.675333333,0.795,0.917333333,1.012666667,1.045,1.054333333,1.074666667,1.095333333,1.113666667,1.132,1.157,1.185333333,1.215,1.245,1.279333333,1.313,1.348,1.379,1.408333333,1.435333333,1.457666667,1.480333333,1.501666667,1.521666667,1.541
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,NCYC 3487-vehicle,66.5241339,10.82657377,84.44157105,5.838973349,NCYC 3487,YS2 ,2.5% DMSO,YS2 *2.5% DMSO,0,0.022333333,0.029,0.034,0.042,0.051,0.062666667,0.079666667,0.1,0.12,0.155,0.213,0.266333333,0.34,0.417333333,0.518,0.624666667,0.745333333,0.867666667,0.982666667,1.021,1.033333333,1.054333333,1.074333333,1.093333333,1.112,1.137333333,1.163333333,1.193666667,1.224,1.258,1.292333333,1.327666667,1.36,1.391333333,1.416333333,1.441333333,1.467333333,1.489333333,1.510333333,1.528
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,yML557-100 uM GDC0941,61.22392763,5.747698529,75.03261606,8.112609367,yML 557,T7,100 uM GDC0941,T7*100 uM GDC0941,0,0.048333333,0.097666667,0.085666667,0.088333333,0.109666667,0.154333333,0.212666667,0.271666667,0.379,0.505,0.639666667,0.785333333,0.922333333,1.060333333,1.189666667,1.280333333,1.315666667,1.340333333,1.373333333,1.408666667,1.438666667,1.478,1.509333333,1.533,1.558,1.582333333,1.601666667,1.618666667,1.635333333,1.655,1.667666667,1.683666667,1.695,1.708,1.721333333,1.732333333,1.743333333,1.752666667,1.762,1.773333333
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,yML557-vehicle,28.79139539,1.12918312,,,yML 557,T7,2.5% DMSO,T7*2.5% DMSO,0,0.035666667,0.040333333,0.038333333,0.037666667,0.036333333,0.042666667,0.066666667,0.079666667,0.190333333,0.279,0.574,0.71,0.861,1.002666667,1.140666667,1.239333333,1.280333333,1.31,1.342333333,1.379,1.413,1.451666667,1.488333333,1.514,1.539333333,1.566333333,1.582666667,1.604666667,1.621666667,1.638666667,1.652666667,1.668666667,1.682,1.692666667,1.707,1.720333333,1.731333333,1.739,1.753,1.759333333
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,yML558-100 uM GDC0941,55.35943067,10.52632159,83.52024108,13.00079788,yML 558,FL100,100 uM GDC0941,FL100*100 uM GDC0941,0,0.057,0.085666667,0.099666667,0.116666667,0.131666667,0.192,0.239666667,0.311,0.408333333,0.529666667,0.653333333,0.788666667,0.931333333,1.059333333,1.172,1.235,1.265666667,1.288,1.312666667,1.344333333,1.371,1.400333333,1.430333333,1.457333333,1.483,1.506666667,1.528333333,1.551333333,1.568333333,1.586333333,1.604333333,1.623333333,1.64,1.654666667,1.669,1.683333333,1.700666667,1.713,1.721333333,1.734333333
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,yML558-vehicle,65.05902283,0.89729723,66.68870174,0.837185266,yML 558,FL100,2.5% DMSO,FL100*2.5% DMSO,0,0.040333333,0.045666667,0.060333333,0.077333333,0.105,0.145,0.199333333,0.27,0.369333333,0.479,0.610666667,0.745,0.89,1.024333333,1.143666667,1.213333333,1.243666667,1.266666667,1.294333333,1.326666667,1.354,1.386333333,1.418,1.447,1.472,1.498666667,1.521,1.544333333,1.562666667,1.582333333,1.600333333,1.620666667,1.637,1.652666667,1.667,1.680666667,1.696666667,1.709,1.720666667,1.732
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,yML559-100 uM GDC0941,87.95928271,3.583628294,96.7481266,1.327262737,yML 559,Y10,100 uM GDC0941,Y10*100 uM GDC0941,0,0.059,0.079,0.071,0.075,0.08,0.099,0.113333333,0.133333333,0.165666667,0.202,0.253666667,0.31,0.384666667,0.472666667,0.574333333,0.688333333,0.801666667,0.909333333,1.022333333,1.130333333,1.211333333,1.277333333,1.303333333,1.333666667,1.361,1.393333333,1.421333333,1.448666667,1.472333333,1.496666667,1.522666667,1.545,1.568333333,1.590666667,1.608666667,1.625666667,1.648,1.666,1.682,1.694333333
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,yML559-vehicle,67.50503255,15.34132654,88.56881938,3.754784894,yML 559,Y10,2.5% DMSO,Y10*2.5% DMSO,0,0.031666667,0.033333333,0.041,0.047333333,0.054,0.067333333,0.079333333,0.084666667,0.126333333,0.157,0.206,0.254,0.321666667,0.400666667,0.494,0.595333333,0.708333333,0.817,0.928333333,1.035666667,1.116666667,1.188333333,1.243,1.281,1.310333333,1.341333333,1.371,1.398666667,1.423666667,1.452666667,1.478,1.502666667,1.524333333,1.545333333,1.565666667,1.583666667,1.606666667,1.623333333,1.639,1.654333333
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,yML560-100 uM GDC0941,,,,,yML 560,UC5,100 uM GDC0941,UC5*100 uM GDC0941,0,0.008,0.007,0.012,0.016666667,0.016666667,0.019,0.017666667,0.017,0.017333333,0.016333333,0.013666667,0.014333333,0.011666667,0.014,0.015333333,0.015333333,0.012666667,0.018,0.015333333,0.015333333,0.015333333,0.014333333,0.014333333,0.017,0.012333333,0.016333333,0.017,0.018333333,0.015333333,0.017666667,0.018,0.017666667,0.019666667,0.02,0.016333333,0.017666667,0.013333333,0.017,0.017,0.017666667
